"","sub","trial","unfair","moneyA","moneyB","optionLeft","optionRight","partner","rp","choice","rt","rprt","EmoPredict_X","EmoPredict_Y","EmoPredict_RT","EmoPredict_Flag","EmoFeedback_X","EmoFeedback_Y","EmoFeedback_RT","EmoFeedback_Flag","EmoFinal_X","EmoFinal_Y","EmoFinal_RT","EmoFinal_Flag","EPE_X","EPE_Y","EmoRegu_X","EmoRegu_Y","EmoTotalChange_X","EmoTotalChange_Y","RPE","moneyA_N","rp_N","RPE_N","EmoPredict_X_N","EmoPredict_Y_N","EmoFeedback_X_N","EmoFeedback_Y_N","EmoFinal_X_N","EmoFinal_Y_N","EPE_X_N","EPE_Y_N","EmoRegu_X_N","EmoRegu_Y_N","EmoTotalChange_X_N","EmoTotalChange_Y_N","optionType"
"21",1,22,"md",8,2,"COMPENSATE","REVERSE","CFD-WM-247-084-N.png",2.6,"REVERSE",4.26773725904059,1.53455500496784,-155.6328125,7.16015625,2.01172292500269,1,-212.45703125,3.9921875,1.21904729201924,1,188.40625,-0.58984375,6.63002880697604,1,-56.82421875,-3.16796875,400.86328125,-4.58203125,344.0390625,-7.75,-0.6,0.340238448923699,0.11623548566757,-0.334741985698401,-1.4864895109142,-0.109856457001398,-1.18784753167285,-0.589901342866041,0.999168507048371,-0.762544823683058,-0.194765373690901,-0.50711900506904,1.92546271915607,-0.106000780827432,1.75700162989489,-0.638571194850158,6
"22",1,23,"md",7.3,2.7,"COMPENSATE","PUNISH","CFD-WM-244-003-N.png",3,"COMPENSATE",2.05778876901604,1.12306244799402,-148.5546875,-12.57421875,1.46853255300084,1,-220.98828125,-1.05859375,1.55291787598981,1,183.32421875,6.71484375,1.20813466998516,1,-72.43359375,11.515625,404.3125,7.7734375,331.87890625,19.2890625,-0.3,-0.128468011751362,0.441555959347602,-0.180495977553633,-1.4150055612352,-0.443979399158597,-1.24371029340585,-0.644406375154967,0.955492861862404,-0.67467747230913,-0.28361232334114,-0.352552328634512,1.94777400131909,0.0440425244254325,1.67590289767757,-0.335142824673223,4
"23",1,24,"lo",5.6,4.4,"ACCEPT","PUNISH","CFD-WM-218-074-N.png",3.1,"ACCEPT",4.6389647719916,1.23584322800161,-159.9765625,-0.5859375,4.01380344299832,1,-88.1015625,-0.4140625,0.766403493995313,1,249.47265625,-1.0234375,1.21437816997059,1,71.875,0.171875,337.57421875,-0.609375,409.44921875,-0.4375,1.3,-1.26675513053365,0.52288607776761,0.64214939921846,-1.5303582482448,-0.241005664107044,-0.37356592921405,-0.637450976603016,1.52398123663501,-0.767760479299371,0.537777281495888,-0.471962179223996,1.51607722243443,-0.0577573279528942,2.19323621742433,-0.556511398697135,1
"24",1,25,"hi",9.2,0.800000000000001,"PUNISH","ACCEPT","CFD-WM-227-099-N.png",3.4,"PUNISH",2.26723718096036,1.61193261604058,-127.46875,0.734375,1.57793461199617,1,-241.55859375,0.41015625,1.20404602499912,1,244.015625,0.78515625,1.14668746903772,1,-114.08984375,-0.32421875,485.57421875,0.375,371.484375,0.05078125,-2.6,1.14373523865238,0.766876433027633,-1.36304870666352,-1.20205282372568,-0.218651437177287,-1.37840502934265,-0.628556497242642,1.47708279211173,-0.746005086953848,-0.520715394179514,-0.477184304232558,2.47341568063649,-0.0458031980370795,1.94004040039247,-0.551031978548028,1
"25",1,26,"hi",9.2,0.800000000000001,"REVERSE","COMPENSATE","CFD-WM-224-197-N.png",4.6,"REVERSE",2.65956461697351,1.81420841702493,-107.43359375,0.984375,2.15405123797245,1,-247.0625,4.05078125,1.47491813095985,1,248.56640625,-0.05859375,1.39252031705109,1,-139.62890625,3.06640625,495.62890625,-4.109375,356,-1.04296875,-3.8,1.14373523865238,1.74283785406773,-1.98003273924259,-0.999712217818622,-0.214418684149167,-1.41444469568047,-0.589269033906772,1.51619280490316,-0.756154470855863,-0.666081099087737,-0.441492930158291,2.53845445785915,-0.100260900986902,1.83677172885071,-0.563305879682028,6
"26",1,27,"md",7.5,2.5,"REVERSE","COMPENSATE","CFD-WM-202-107-N.png",3.2,"REVERSE",3.71401358902222,1.52453673904529,-128.7421875,2.5078125,0.989129915018566,1,-197.1796875,1.80859375,1.24090881901793,1,208.734375,-1.62890625,3.30628747696755,1,-68.4375,-0.69921875,405.9140625,-3.4375,337.4765625,-4.13671875,-0.7,0.00544811987008378,0.604216196187618,-0.386157321746657,-1.21491362261937,-0.188625345384063,-1.08781123994311,-0.613465390081439,1.17387108779224,-0.775043602006836,-0.260866970615365,-0.481131737309896,1.95813371330872,-0.0921017329491238,1.71323488716277,-0.598023485746768,6
"27",1,28,"hi",9.5,0.5,"REVERSE","PUNISH","CFD-WM-238-020-N.png",4.1,"REVERSE",2.09608049696544,1.62499904702418,-115.90234375,1.57421875,1.3332538009854,1,-237.3046875,-0.32421875,1.31914143596077,1,246.30859375,-0.67578125,1.79447367502144,1,-121.40234375,-1.8984375,483.61328125,-0.3515625,362.2109375,-2.25,-3.6,1.34460943608455,1.33618726196769,-1.87720206714608,-1.08524047549195,-0.204432032473447,-1.35055038303897,-0.636481436198804,1.49678886722638,-0.763578557228633,-0.562337388610256,-0.493755299338468,2.46073135034675,-0.0546264844035142,1.87819382465076,-0.576851006290619,5
"28",1,29,"hi",9.6,0.4,"PUNISH","ACCEPT","CFD-WM-252-224-N.png",3.5,"PUNISH",3.0882469000062,1.07023672200739,-85.8125,1.0703125,1.86891177500365,1,-239.45703125,2.48828125,1.06906746799359,1,217.01953125,7.90234375,0.773263876966666,1,-153.64453125,1.41796875,456.4765625,5.4140625,302.83203125,6.83203125,-3.1,1.41156750189527,0.848206551447641,-1.6201253869048,-0.781354788749488,-0.212963675295751,-1.36464396441026,-0.606130606153927,1.24507481065114,-0.660393154224813,-0.745856588413327,-0.458845188060757,2.28519740109819,0.0153905622462576,1.48218295782275,-0.474933791517234,1
"29",1,30,"lo",5.6,4.4,"ACCEPT","COMPENSATE","CFD-WM-217-070-N.png",3.7,"COMPENSATE",5.26717672200175,0.865543067979161,-94.0234375,-3.1953125,2.14761379203992,1,-54.6796875,3.90625,1.56681286101229,1,239.03125,0.14453125,1.89268636400811,1,39.34375,7.1015625,293.7109375,-3.76171875,333.0546875,3.33984375,0.7,-1.26675513053365,1.01086678828766,0.333657382928925,-0.864279326401398,-0.285185023838043,-0.154718956051257,-0.590828729339634,1.43424641758652,-0.75371110065723,0.352612767810406,-0.399016905482348,1.23234745186984,-0.0960390058975866,1.68374443908374,-0.514122604423645,2
"30",1,31,"lo",5.6,4.4,"ACCEPT","COMPENSATE","CFD-WM-215-041-N.png",4.1,"COMPENSATE",1.54861646401696,1.12757639499614,-145.71875,-8.5078125,2.17699374200311,1,-116.828125,-0.078125,1.03432797000278,1,9.42578125,-0.4765625,1.44225821900181,1,28.890625,8.4296875,126.25390625,-0.3984375,155.14453125,8.03125,0.300000000000001,-1.26675513053365,1.33618726196769,0.127996038735902,-1.38636464099957,-0.375131025685587,-0.561667920873608,-0.633825738569878,-0.539013189166705,-0.761182174918435,0.293114660386973,-0.385036413333442,0.149151126788968,-0.0551957286852197,0.497222833289279,-0.461476335631028,2
"31",1,32,"md",7.5,2.5,"COMPENSATE","ACCEPT","CFD-WM-201-063-N.png",2.9,"COMPENSATE",1.82929469796363,1.54523801000323,-122.54296875,1.90625,1.2944813509821,1,-181.03515625,2.81640625,1.31203748099506,1,-28.1953125,-4.21484375,1.27086857898394,1,-58.4921875,0.91015625,152.83984375,-7.03125,94.34765625,-6.12109375,-0.4,0.00544811987008378,0.360225840927594,-0.231911313601889,-1.15230599119521,-0.198810407357976,-0.982096590564683,-0.602589675982024,-0.862333818518009,-0.806149584150975,-0.204259279471845,-0.464190670352986,0.321122345816713,-0.135743794546543,0.0917552238352234,-0.620291849232738,2
"32",1,33,"hi",9,1,"REVERSE","ACCEPT","CFD-WM-258-125-N.png",3.1,"REVERSE",1.46613909502048,1.16279998800019,-57.8359375,-0.25,2.81155410601059,1,-226.86328125,4.7421875,1.53973569901427,1,243.7265625,-0.65625,1.02729866700247,1,-169.02734375,4.9921875,470.58984375,-5.3984375,301.5625,-0.40625,-2.1,1.00981910703093,0.52288607776761,-1.10597202642224,-0.498811716122002,-0.235317902225508,-1.28217988756631,-0.581807788187407,1.47459855095587,-0.763343617786457,-0.833413967723296,-0.421221216542376,2.37648920455796,-0.115915118733802,1.47371617723469,-0.556160715807592,3
"33",1,34,"lo",6.1,3.9,"COMPENSATE","REVERSE","CFD-WM-220-068-N.png",2.1,"REVERSE",2.63102069200249,1.31277441798011,-98.0625,-0.3125,1.49760926398449,1,-47.16796875,9.75390625,1.34982417197898,1,221.05078125,-3.984375,1.15806027298095,1,50.89453125,10.06640625,268.21875,-13.73828125,319.11328125,-3.671875,1.8,-0.931964801480039,-0.290415106432469,0.899226079459739,-0.90507094007032,-0.236376090482538,-0.105532101283602,-0.527724295204659,1.27971990352733,-0.803377298733295,0.418358621192727,-0.367807512714642,1.0674511581033,-0.217193163853899,1.59076616241055,-0.592807077764818,6
"34",1,35,"md",7.4,2.6,"REVERSE","PUNISH","CFD-WM-235-147-N.png",2.5,"REVERSE",2.41736055404181,1.61488874501083,-151.5703125,3.125,1.09187690599356,1,-93.98046875,-1.69921875,2.70961219700985,1,164.3125,1.8671875,0.884700694994535,1,57.58984375,-4.82421875,258.29296875,3.56640625,315.8828125,-1.2578125,0.1,-0.061509945940639,0.0349053672475626,0.0251653666393899,-1.44546119542515,-0.178175736345892,-0.41206110156211,-0.6513196197763,0.792103649625586,-0.732989441857282,0.456467648144806,-0.524553501160618,1.00324621135786,-0.00704714985763267,1.56922146226801,-0.565716824547635,5
"35",1,36,"hi",9.5,0.5,"REVERSE","ACCEPT","CFD-WM-221-091-N.png",2.5,"REVERSE",2.38402329897508,3.0279587469995,-57.6328125,-5.1640625,1.36767268599942,1,-244.3203125,2.64453125,1.32187985797646,1,242.609375,-4.953125,1.42327264003688,1,-186.6875,7.80859375,486.9296875,-7.59765625,300.2421875,0.2109375,-2,1.34460943608455,0.0349053672475626,-1.05455669037398,-0.49676030034755,-0.318517953934486,-1.39648880798058,-0.604444448929211,1.46499729459678,-0.815030295065238,-0.933933752350105,-0.391574349367783,2.48218353444234,-0.142622162950484,1.46491072542311,-0.549234728739121,3
"36",1,37,"md",7.8,2.2,"ACCEPT","REVERSE","CFD-WM-200-034-N.png",2.5,"REVERSE",2.38253363297554,1.62771857599728,-89.546875,-1.8125,1.48895937902853,1,-182.91015625,1.6875,4.1146310030017,1,234.3125,3.60546875,1.11270803801017,1,-93.36328125,3.5,417.22265625,1.91796875,323.859375,5.41796875,-0.3,0.206322317302253,0.0349053672475626,-0.180495977553633,-0.819069278756732,-0.261772608651256,-0.994374120615891,-0.614772161930593,1.39369285925858,-0.712079831503594,-0.402741942016309,-0.436928710662618,2.03128338699154,-0.0270655737642748,1.62241889599361,-0.490802192269047,3
"37",1,38,"md",7.3,2.7,"REVERSE","PUNISH","CFD-WM-210-057-N.png",3.2,"REVERSE",2.16390870901523,0.971103322983254,-135.3671875,-2.22265625,0.920398289046716,1,-161.0859375,-0.3671875,1.12167844001669,1,201.703125,4.33203125,1.23750034999102,1,-25.71875,1.85546875,362.7890625,4.69921875,337.0703125,6.5546875,-0.5,-0.128468011751362,0.604216196187618,-0.283326649650145,-1.2818213371092,-0.268716969088015,-0.851468786457344,-0.636945129435601,1.1134436002175,-0.703340084254636,-0.0177162595605583,-0.454239849470529,1.67917951729545,0.00670958695024932,1.71052551737459,-0.478046102161927,5
"38",1,39,"md",7.9,2.1,"PUNISH","COMPENSATE","CFD-WM-225-127-N.png",2.6,"COMPENSATE",2.15857553901151,1.60333152400563,-83.80078125,0.68359375,4.2497349740006,1,-143.12890625,3.9765625,1.64203226298559,1,93.484375,4.80859375,1.75099541898817,1,-59.328125,3.29296875,236.61328125,0.83203125,177.28515625,4.125,-0.5,0.273280383112976,0.11623548566757,-0.283326649650145,-0.761037882521737,-0.219511215136124,-0.733885858029415,-0.590069958588512,0.183397424789344,-0.697607561865535,-0.209017349348009,-0.439108022674065,0.863011085644665,-0.0402530662904513,0.644883486745048,-0.505311696823882,4
"39",1,40,"hi",9.5,0.5,"REVERSE","PUNISH","CFD-WM-240-125-N.png",1.6,"REVERSE",2.50830706197303,1.89034876698861,-98.35546875,-4.3203125,1.28639885096345,1,-225.70703125,3.5859375,1.10217576898867,1,229.63671875,-1.37890625,1.45263659098418,1,-127.3515625,7.90625,455.34375,-4.96484375,327.9921875,2.94140625,-1.1,1.34460943608455,-0.697065698532508,-0.59181866593968,-0.908029712821934,-0.304232412464582,-1.27460874403473,-0.594285351650301,1.35350858002138,-0.772036377146979,-0.596199727028002,-0.390546372003893,2.2778697999348,-0.110649609128027,1.64998152326181,-0.518593811265317,5
"40",1,41,"md",7.3,2.7,"COMPENSATE","ACCEPT","CFD-WM-255-219-N.png",2.6,"COMPENSATE",1.36852044198895,1.29952127899742,-129.44921875,-1.71484375,1.48627577297157,1,-89.82421875,1.41015625,0.857507220003754,1,250,-3.9453125,0.720079152029939,1,39.625,3.125,339.82421875,-5.35546875,379.44921875,-2.23046875,0.1,-0.128468011751362,0.11623548566757,0.0251653666393899,-1.2220541275266,-0.260119189499647,-0.384845909948598,-0.617765091004463,1.52851329820312,-0.802907419848942,0.35421361375005,-0.440876143739957,1.53063135440034,-0.115393311475572,1.99315967922033,-0.576631829484655,2
"41",1,42,"hi",9.5,0.5,"ACCEPT","COMPENSATE","CFD-WM-206-045-N.png",2.2,"COMPENSATE",1.2443136619986,3.27017844800139,-114.73046875,-0.39453125,1.40006136504235,1,-247.109375,-0.75390625,1.26689426600933,1,241.58984375,-4.41796875,0.868667019996792,1,-132.37890625,-0.359375,488.69921875,-3.6640625,356.3203125,-4.0234375,-1.7,1.34460943608455,-0.209084988012461,-0.900310682229215,-1.07340538448549,-0.23776496256989,-1.41475163393175,-0.641118368566772,1.45623530889844,-0.808592954349608,-0.624814848199138,-0.477554376083558,2.49362975281136,-0.0948530803107002,1.83890796272216,-0.596752260272175,2
"42",1,43,"hi",9.4,0.6,"REVERSE","PUNISH","CFD-WM-216-061-N.png",2.3,"REVERSE",3.26244876696728,1.35890073800692,-149.3046875,3.640625,1.20193478796864,1,-250,3,0.888615831034258,1,250,-4.47265625,0.974946052010637,1,-100.6953125,-0.640625,500,-7.47265625,399.3046875,-8.11328125,-1.7,1.27765137027382,-0.127754869592453,-0.900310682229215,-1.42258001947933,-0.169445683225395,-1.4336794927607,-0.600608441242984,1.52851329820312,-0.809250784787702,-0.444475106303971,-0.480514950891562,2.56672889131375,-0.141104178199269,2.12558012761759,-0.642647883441093,5
