"","word","sub","end_X","end_Y","respondTime","responseFlag"
"186","Disgusted",18,-198.609375,85.078125,4.84993821300304,1
"187","Calm",18,188.78125,-144.0390625,6.22642919600185,1
"188","Peppy",18,201.9609375,121.390625,3.58284181699855,1
"189","Sad",18,-173.578125,-90.1640625,5.64971489500022,1
"190","Angry",18,-206.88671875,184.33203125,3.96014703100082,1
"191","Sluggish",18,-84.015625,-208.046875,4.69693560799351,1
"192","Sleepy",18,-0.13671875,-191.70703125,4.25035237200063,1
"193","Enthusiastic",18,201.34765625,171.47265625,4.23626676199638,1
"194","Relaxed",18,221.3359375,-107.34765625,3.81676689100277,1
"195","Aroused",18,0.37890625,246.953125,4.85850405000383,1
"196","Happy",18,212.796875,115.40625,5.02911787099583,1
"197","Peppy",19,127.0390625,115.8828125,3.63211464100459,1
"198","Still",19,124.9609375,-147.19140625,3.29221854500065,1
"199","Happy",19,226.09375,154.38671875,3.31167573499988,1
"200","Neutral",19,-1.0546875,1.0546875,1.78946028799692,1
"201","Nervous",19,-240.80078125,186.703125,3.66788986300526,1
"202","Surprised",19,70.55859375,185.765625,4.32189464800467,1
"203","Angry",19,-216.203125,207.16796875,3.65174098400166,1
"204","Relaxed",19,207.09765625,-229.75390625,3.29228158100159,1
"205","Annoyed",19,-174.15625,-216.234375,3.60971402999712,1
"206","Satisfied",19,242.26171875,-65.3515625,3.13013990500622,1
"207","Aroused",19,215.19921875,242.37109375,3.94619895600044,1
"208","Quiet",19,250,-250,3.9477562289976,1
"209","Disgusted",19,-234.6015625,233.125,3.66284925299988,1
"210","Enthusiastic",19,128.796875,59.8203125,3.93295302600018,1
"211","Calm",19,126.5234375,-225.76953125,4.76979358199605,1
"212","Afraid",19,-177.94140625,106.5234375,3.80257749399607,1
"213","Disappointed",19,-186.30859375,-209.5078125,3.76007140999718,1
"214","Sad",19,-187.34375,-218.5,3.89308552900184,1
"215","Sluggish",19,-41.75,-217.84375,3.92574030099786,1
"216","Sleepy",19,0,-250,4.16381283899682,1
"217","Sleepy",2,-63.95703125,-248.89453125,4.52522770303767,1
"218","Neutral",2,0.67578125,1.4140625,3.24364897300256,1
"219","Disgusted",2,-137.203125,18.08984375,3.90939710201928,1
