,sub,beta,w1,w2,log_lik
102,102,0.03585957678534439,78.69126132477452,235.53984333942356,-6.997860763799229
106,106,0.3982523210395759,-2.7651555162999077,18.995783421412142,-8.638009310228188
107,107,23.6790082133908,14.83538176937673,20.432312120724923,0.0
110,110,1.1633968467854263,-10.953588679260697,50.91639711938178,-4.50323152048424
111,111,1.1609807603891773,8.304572266096944,-9.862206649483742,-8.745541645990096
117,117,0.11588027698149012,31.31996920380314,2.854328712196701,-9.731312035260302
120,120,0.1860284659500493,1.0741920292403804,10.875002909880306,-13.073061036853854
124,124,0.01809454450604428,-109.10354085896456,338.96897434596184,-12.401655427537504
126,126,0.3607327358695628,5.215476480348276,-5.866871801585656,-13.65221371634383
127,127,6.211904588885799,-267.08429255552676,444.6114507441215,-0.007383766579422454
131,131,0.18386284414911191,-13.134178288942696,37.00394252038548,-10.119570895724443
132,132,0.03321110711401157,-137.30631937968764,438.4691254446061,-4.6678879574053145
134,134,-0.0011249114380186438,-1209.2518865120658,8272.6426261446,-8.385868598818142
136,136,1.7183175271127862,-5.288719544511823,13.340283375823644,-4.666253706262593
138,138,0.0619806351063945,39.78895097508404,22.481968703851756,-10.96569722133744
139,139,0.18459675516223745,17.162133046778834,0.7123509791641327,-11.04378479813002
141,141,9.739929197985518,0.6599402205311649,-0.6474034461704266,-11.471693994294764
143,143,0.15042904802585394,50.27845931424254,14.759677886382477,-5.852915581409928
146,146,0.02909486598479056,828.6360638817567,-194.12216874962627,-2.645930036095561
147,147,0.6152944207756228,2.6772255319042135,19.18255781936145,-5.456190483342466
149,149,20.201625366614095,35.8491808222233,-12.613474119599262,0.0
150,150,0.7598300497002991,-10.345000829594918,39.548646101110485,-4.015769514667394
155,155,0.060956019227681825,-50.3123465557386,272.39044135914276,-4.108203644120048
156,156,4.74310025501784,-0.3434577526206489,0.6654558237139557,-13.358931295260438
160,160,1.941189332513046,-27.630950230173024,32.12010214211017,-1.7330657916273278
163,163,-0.17259999218444289,17.717137057015137,-23.934182264459288,-12.877059611041712
167,167,0.49369993817317703,17.35951536514142,99.19801937046215,-2.590340928466647
168,168,0.030140180160389,112.5584871294995,33.0435659112026,-10.142875158304198
173,173,2.418480388451771,5.017006730051101,3.005514625589732,-5.152429299142203
175,175,169.01799504144685,-9.209651237441719,61.67650104484442,0.0
176,176,0.3336621789897313,-31.831825667456336,50.70378439876068,-9.080443639231095
177,177,31.022860161571465,33.87154936123166,-10.847246689646084,0.0
178,178,0.06313018332932599,-6.527546046795717,67.46590080274223,-9.126684422428616
180,180,0.16475381099516279,28.259100123011823,2.515808445479781,-10.05061421451679
181,181,1.3944426733360658,0.6411667165691014,6.876744158447982,-9.284645519474653
183,183,0.8763318257198132,-15.154645377132645,21.91670229802617,-8.97068230517149
184,184,0.4894673129260848,10.209670421765885,0.29588765389744204,-9.149382523167214
185,185,-0.4796786433979068,0.5687256429411951,4.171955804186256,-12.65670871738934
188,188,0.01962897239451676,245.614953540358,11.00378217866416,-9.22578350471004
191,191,0.12639933997760128,33.247961372028925,-23.53090124041291,-10.90065200816314
194,194,2.572305654183056,18.821033483928666,-18.317476728008238,-1.7729107741415115
195,195,-37.04205456183926,17.217875347274877,-14.750799909627036,0.0
196,196,1.3512926239713352,6.04398376948075,-3.6624329822383865,-8.516866044937796
203,203,0.035794308101880015,13.32138280596548,75.82836429249109,-11.692671886360126
204,204,-49.57130911363192,-26.875071350048916,39.63890876799196,0.0
206,206,3.164951389564932,3.8319368258240427,-2.8947953385079934,-5.210389541871498
207,207,0.009781184776084646,-285.5815464323156,3344.865025729494,-4.044714902664766
209,209,-0.005679870746307266,-420.10940622440694,522.9403119651038,-13.063853940958836
212,212,0.28139452082152316,5.46927578972784,5.641112345249587,-12.82770946115652
218,218,0.3506710424955799,12.199405445733944,40.87559116405771,-3.9303273183931013
219,219,0.03392465194727168,-304.2889732637766,1604.2854095779828,-5.843180483266323
220,220,1.6561543750114598,-6.238667657146964,4.956400353035559,-11.575162996647075
225,225,-0.029020863445722224,134.7617688195404,-120.69960769028052,-11.74707569504129
226,226,0.005228535417019325,53339.72132617845,213943.30899796356,-0.0012942200093477721
228,228,-0.2012552629562479,-17.229781739961844,20.143058137118963,-12.66176358289861
229,229,-0.2061203717341511,-32.740295496248784,79.81844405448254,-9.742300135809634
231,231,0.5604052687599208,3.6744365998600177,2.455421846565864,-10.065536217236824
238,238,0.7104311931144807,-3.1431675918526496,52.36638786460834,-2.545849231003946
243,243,0.007991288256939788,388.139728803215,2347.457941675367,-4.174354328153325
249,249,-8.276029904268675,0.9467123663331977,0.9294102120635606,-4.720134223531061
250,250,-1.1247159183450546e-05,57801443.78608577,-46055565.431240425,0.0
251,251,3.84024629168324,-4.0206076774783215,9.619482372513795,-3.757269647937994
254,254,0.83646706109582,5.299459850834676,2.9374077845477866,-8.944645878899042
255,255,0.17679029535689061,-6.766692567189624,44.01452278943159,-9.154972617796105
256,256,0.40598251153354226,-13.912297023247444,16.975542054206052,-11.337540101869902
257,257,0.7507891398252108,4.113215923763198,3.3502267627797058,-10.513261253992008
260,260,0.021031251976278725,798.6807985164631,-300.68134577437445,-5.106575363055829
261,261,43.23584206360135,-9.85032368229577,154.94163672141792,0.0
264,264,0.27697881698762333,-26.673298623234373,42.95920724830777,-10.395751722427663
268,268,-28.61072525373541,31.300558832695252,-14.55899990954239,0.0
270,270,0.0266500512051726,-73.00799003542889,186.81800554530068,-10.923618197880426
272,272,0.00010036480626811057,5329.088185737265,247995.1212332775,-9.993529794405905
273,273,0.36013941242168507,10.749257108607654,2.4811435813976064,-9.510455004528103
276,276,0.1108168567473283,246.10010254811894,-103.79249654512881,-5.070290673656267
277,277,0.002554296923528522,178.94936381531838,606.1305693448571,-11.305525961388087
278,278,0.015563807014116401,1026.5918592141416,-513.5285625614813,-5.552915634417764
279,279,0.5655242936382161,-0.8852791134977895,4.415561932993397,-12.994032565321836
282,282,0.11884366183302503,-146.3117678916156,245.27729218545986,-6.720297021916043
290,290,45.88259517710482,-10.15657170783281,39.08405951558487,-1.2211173112890842e-08
