,sub,beta,w1,w2,pt_beta,log_lik
256,256,3718.4646087794317,497.15886166299657,0.00011170926433545629,4.7159040275697723e-07,-10.934617927654664
257,257,452.2015010398732,1365.2880046078826,0.006985899990955058,1.6783095790360173e-06,-9.222732556853737
260,260,1.0783154004149944,15.577301823750105,-5.864428906841626,0.9999999999862679,-5.106575363073593
261,261,32.326105641905585,-31.41949308179798,246.54933053231224,0.9491550685799357,0.0
264,264,5.216528345357283,-367.49482405696267,370.3345351513326,0.34520143178432194,-2.2648549702353326e-14
268,268,-64.72709273092164,13.770938108191956,-6.452264160185304,0.923840647290266,0.0
270,270,0.02109121803386726,-229.0373987347682,389.31778371730485,0.31894428986068446,-9.23212411344815
272,272,20.267408460016398,-0.04962959578986954,0.5541758921910156,3.32671943531043e-12,-9.159643301178155
273,273,1093.1850968112508,1708.573065158745,0.000300909408060161,1.1661238382371934e-06,-8.828899386156127
276,276,6587.631399945569,936.6205351571424,-0.0022038219312989515,4.692465736592276e-06,-4.358735606611964
277,277,1410.8247793443643,1628.3452862260897,-0.0002456753415598223,5.87844267833427e-07,-10.317719882984784
278,278,0.362576346705252,44.0670542904356,-22.043506384777572,0.999999999999988,-5.552915634418346
279,279,2.1895264412964686,-324.4797156444275,1.653131571692867,0.0009283696986113232,-11.057167242551875
282,282,0.03918780661556233,-502.053282262165,850.2068542429904,0.7971301510697941,-6.0939633184336826
290,290,135.97249455438455,-6.500328834571219,12.877348333661757,0.3159134184326641,-2.7311486405779034e-14
291,291,-0.3451185079371347,-39.590193718529754,29.80925967295181,0.7567558781137191,-9.390307724955871
293,293,0.37505972618975675,-8.733198303715199,95.07327659610733,0.9934912384664946,-3.522840323831205
297,297,26.76398001840969,-0.8542144061012009,1.4529890780271906,0.999999999997405,-6.706396954903728
299,299,6.20257994998917,4.581251415517388,0.09299298967902772,7.45882592983944e-15,-12.394178278595849
300,300,-103.165013480338,6.931886818255048,-0.05706486072101438,0.0061115212072678825,-7.977747326333989
301,301,-142.6609211088308,4.993792182230212,-0.044509366765214525,0.005782876968936721,-7.426269753343049
303,303,40.408093052805796,-0.09238671279274294,0.20440276605414698,0.8396337161872898,-11.424485828521972
313,313,30.676242390670673,0.209448610921577,-0.08364963802301455,0.42100057071822594,-11.06310508579587
314,314,-167.94589409708618,4.246645631416245,-0.03175611637549089,0.004070125738109094,-10.858444000224305
316,316,0.4003612837091216,14.459370555414853,-1.3534212843998026,0.9999999999560263,-7.8812234942133115
318,318,3.3329778414722226,-212.9470091741977,2.0308817450561563,0.0008242629976692307,-10.96470043518122
322,322,1758.167691495525,1588.9483788482987,0.004756046922091452,1.6900969060685518e-06,-4.8543475686619555
325,325,0.4948462315256522,16.442903466891536,5.312962556710763,0.015159149686279492,-11.8500872709653
326,326,3.6201936565062387,-6.553525721919165,13.33720564163736,0.949980168518854,-2.2131506900702784
327,327,1.2542877447623086,3.2279892445159475,2.2508569144862607,0.9999999999173935,-8.043442645614316
328,328,5.199858302645481,-139.56739682739862,15.459101888304161,0.0014052750918485653,-3.7746719205390464
329,329,1.2671703075659586,-4.467883814321803,7.8961291847015005,0.999999999997002,-9.171852255383724
331,331,0.8404202205331575,5.265183973684305,-0.703116103906869,0.9999999999990011,-11.581851900476366
333,333,0.8610089460706571,4.08651352850076,0.34468406780942573,0.9999999999977898,-9.770375841627345
335,335,6.291138029864612,-0.5627852041291808,3.6152887618284257,0.9281599764662238,-7.0482090038036835
339,339,919.7914227002166,4089.0465724011665,-0.02450067778945675,3.943698340142484e-06,-2.4991599970436553
344,344,1548.391793092242,213.84263441495483,-0.005213991440119638,6.317001628150992e-06,-10.153642328646592
346,346,6.171254316413756,1.848569324406865,-0.03534240917665213,0.6423390991202379,-6.387416734021983
350,350,0.8005377830549453,48.549564935116265,11.735721192497003,5.116895266495066e-15,-5.747751779007821
357,357,22.170434082637975,-0.2076044953291805,0.48310831813536725,0.06542099295050358,-7.234069315768739
358,358,305.91102722078426,7509.108743609575,0.0039837380950959594,9.534877380830391e-07,-8.29836775807162
361,361,14.745764646594138,-0.09654231021010916,0.3458493825971244,0.9999999998509879,-11.640701967332154
362,362,2.538802108737198,5.3612014418542975,-4.607569057648719,0.9999999994877926,-10.30772993227594
369,369,62.25701436933424,-5.64633373409746,17.25423179483279,0.9999999997070554,-0.013672685638003597
370,370,281.9420267785681,3988.595712289657,0.029684735944682267,1.0576123634938722e-06,-5.406734812337204
371,371,1353.5879483426359,1889.1364636948056,-1.4235125806736592e-05,9.09249702018323e-07,-8.176207755768525
