,sub,beta,w1,w2,w3,log_lik
50,50,0.4994702887411284,-2.4076858888872414,22.822424945847708,-10.579664648904444,-11.532658154096637
51,51,0.017253629919017226,292.7367720349154,-389.5033485952233,364.01945466672555,-8.428009299937353
53,53,53.789635198661614,0.8489237896595263,3.3132784868850615,-31.617896695962237,0.0
54,54,0.1368235643315887,-88.84750619203527,64.61106711620948,72.60326736591392,-8.837073594079087
59,59,0.9776375871944825,18.39477935217685,-17.00526534755418,13.645510390602258,-6.31635620354092
61,61,0.06656790471750801,-13.981110195464346,46.0030144775977,-400.02489646909584,-12.543198718340992
62,62,0.03585605704449861,695.3182815433775,-521.5340363153775,206.73950528193112,-5.453414208480762
63,63,-169.75772733254553,-4.378432486155276,5.641000438796425,152.19678753109366,0.0
64,64,2.091852049410253,-0.39470891207047865,11.975809758478825,-36.55903330805795,-4.932264613323633
65,65,0.5889739595398833,-6.574402432592812,18.99500767332635,16.948403807105187,-10.919643411503753
66,66,0.49772590915405346,-12.724340254208293,15.157899288250347,1.6888931686248925,-11.479793516023193
67,67,0.031467838876227894,5.517267630604291,133.36228347177465,223.65339947118065,-5.146823118739747
69,69,8.200551192744364,-3.835351648460438,6.753516581792763,271.15185973848594,-1.7167458025328284
72,72,0.12081130585355915,77.86092912767799,-21.962885094323184,-54.829351852928426,-6.648602017845004
74,74,0.34509240744924286,-28.400080378219428,72.57338205344297,164.3262409261527,-8.65309542835261
76,76,0.3534320790515789,-23.644015737868024,55.5183611131333,5.83518804164269,-5.011992354689621
79,79,-0.04197715009226068,-174.97980271148782,247.83595078697857,-3021.4907513738654,-7.53286990553831
81,81,-1.4735968021695642,-3.0523666964447624,3.9077369804483344,32.94040954589289,-11.360709741717699
83,83,14.605534355331102,87.27397364941376,70.7691533635035,-124.3976303105685,0.0
86,86,-4.688020446316639,94.62934313528328,53.0399032162106,-32.99268062824814,0.0
97,97,-2.7040591143953665,74.2041131377882,-136.26206689467676,255.1993650810445,0.0
100,100,1.1621557346861189,1.5002494571204563,9.460905255583842,-14.783360662556559,-7.792248619992681
101,101,0.16058533724279686,-120.91015830088472,264.2950524616066,280.9833623749434,-4.679271268917728
102,102,0.09148159236390116,32.62698162679375,132.14925163787115,-62.03141044075457,-6.567736079482491
106,106,44.53334078360761,6.914128241893678,7.007516495044794,-299.4720745713512,-0.01955103748897158
107,107,52.84883577037359,3.3635246909765524,16.525075719672444,-13.552182473852568,0.0
110,110,0.48339987103673127,-23.340003214301287,103.22176856946028,99.39394262471964,-4.289583726038835
111,111,0.10108162262594603,96.57876843742125,-119.29117034568863,-36.91395263991206,-8.532684109105663
117,117,0.1574679806771231,22.925339460692705,2.0601726210762186,0.7481891781516274,-9.731174867812753
120,120,258.0921375115197,-0.012521592324194348,-0.0031054181520043522,0.024123395037378325,-11.971458019834113
124,124,1.1020965585225766,-5.401045318987441,6.192377985077213,7.343066272275541,-12.047058603910092
