,sub,beta,w1,log_lik
177,177,44.34974454185935,17.360931104510897,0.0
178,178,3.5353927691302296,1.1298807660110184,-9.371018030665589
180,180,1.8074046294890256,2.7751135106619946,-10.055515993259457
181,181,2.363431146431416,1.549538109676495,-9.862814610029368
183,183,2.3425537133541328,0.8504121034109906,-12.71550908294823
184,184,4.5658105723851925,1.1122521677183084,-9.149455671795534
185,185,0.1442219829835546,-11.021868172466753,-12.803818855651825
188,188,16.82224469193785,0.3019672977769592,-9.228298984855428
191,191,0.40397396344884984,7.418980987824271,-11.014964943980535
194,194,3.1994107494226576,2.9012545468742017,-3.825900908279412
195,195,0.9287605400322225,-10.314519695711473,-3.9260970751132818
196,196,7.2117813662709445,0.4814821690405853,-10.506375471044887
203,203,1.7636326602616212,1.6128828640043822,-12.07180052435422
204,204,9.18311216175698,-47.314546531634775,-1.3862943611198906
206,206,1.7504915638136622,2.9503194043246452,-8.192855388714191
207,207,2.1082377021277225,1.1707394242550466,-11.454605530619093
209,209,1.3746214486234547,-0.544367551611299,-13.564805327278286
212,212,9.003068738980566,0.24462243921616494,-12.910517735410975
218,218,1.8239618600059266,4.9712280807703895,-6.631799218724698
219,219,2.1414742509680496,2.3857821010817717,-8.504975650411987
220,220,-0.3370224886803995,0.6700844176452908,-13.83474660043719
225,225,0.5218771053802286,-2.648704811143142,-13.220647170799294
226,226,4.913283527735991,6.202251623165582,-2.451142342874594
228,228,0.8532370593149756,-0.2620953993068966,-13.839355124255789
229,229,1.0583292657507077,-1.4278229423031117,-12.745865208806967
231,231,1.228060065030541,2.4316076719601254,-10.242954895979382
238,238,1.1383208586090623,5.191576529421086,-7.5007413203698885
243,243,1.170986949839535,4.580475839109101,-7.877506974211229
249,249,0.2930495968000487,-29.932304163642122,-5.093612775788148
250,250,1.3662445185209087,-8.175361677731058,-4.46779730244107
251,251,1.1317944360119798,2.6023003581093658,-11.16853561900928
254,254,1.297822636370987,3.6804710052500043,-9.049626679245181
255,255,1.7483825079209576,2.432412147360939,-10.76529374958681
256,256,1.3215183854938077,1.3288200891693265,-12.750125008477465
257,257,1.6533873314024263,2.702923549106186,-10.728709870085158
260,260,3.8180447725973305,2.9720304528897685,-5.267587584541248
261,261,44.35978843143012,9.760322897898769,-1.3862943611198906
264,264,14.13026353509102,0.2023753262048841,-11.910293633270761
268,268,2.7716612303946446,-207.11773961326543,-1.3862943611198906
270,270,1.1402784831170387,2.275914064116538,-11.745512641248792
272,272,0.3783273514549865,-2.7975682766732204,-12.980463886243808
273,273,6.873729604218379,0.6253207085512271,-9.86665861265011
276,276,16.780851963477755,0.2707330803347823,-6.9902596229311875
277,277,1.6060114746959608,1.1583425884832454,-11.491493904322194
278,278,0.254709430222393,24.911608578429643,-6.8928652013395295
279,279,0.19263733699495783,6.254808480681088,-13.447183187805582
282,282,1.7999978705565907,1.290070261730337,-11.939734578307204
290,290,3.6376016937019964,1.329350254993498,-9.103804109682144
291,291,0.9455633864465816,-0.09285827582639289,-13.860748686281394
293,293,2.132757717374739,2.8277337705790404,-6.670871902821426
297,297,1.1996414777894948,1.4788390159168647,-13.042908001750016
299,299,0.9451647313924425,0.5998721706084795,-13.753188806007708
300,300,1.4242597655803397,-2.983462263866728,-10.294995990474623
301,301,2.0189315674274084,-1.010383044011615,-12.269639894488526
303,303,0.6384596175987156,1.0716093639332076,-13.710372678377906
313,313,0.8712374025573704,2.4929053707239364,-12.347290816783811
314,314,0.48191134003211644,-3.7674296222912615,-12.021761524170927
316,316,0.4857138060376654,11.135558654660569,-7.908330679088407
318,318,1.4260150043476978,-1.0458124710220065,-13.171894077753308
