,sub,m1a_ll,m1b_ll,m1c_ll,m2a_ll,m2b_ll,m2c_ll
139.0,139.0,-8.261431866745527,-8.08979268124686,-7.263594288789535,-8.205044860123717,-8.073055444217765,-6.455139797078255
141.0,141.0,-13.366230063702425,-13.104957104363116,-12.280795138516678,-12.45061934962321,-12.1208713953438,-12.085134700112278
143.0,143.0,-2.332499428747276,0.0,0.0,-2.030302335383898,0.0,0.0
146.0,146.0,-5.253583297823361,-3.4036319407871245,-2.2216302884819745,-5.253583297828485,-3.4036319407984656,-2.2216302884861108
147.0,147.0,-5.6474822643136635,-5.637552445573763,-5.424973266350893,-5.647482264314835,-5.637552445573999,-5.4249732663772505
149.0,149.0,-10.056187061640452,-10.044999341155878,-9.11115701616316,-9.082412542661785,-8.798281904456712,-8.460215122910506
150.0,150.0,-9.075642173525532,-8.009570634757615,-7.174632907061738,-9.075642173525756,-8.00957063478123,-2.821860925536171
155.0,155.0,-5.269154608173641,-4.536753282001339,-4.527439911344482,-4.770893026376037,-4.210080584266839,-4.20068098689403
156.0,156.0,-13.318439927336545,-12.211539817689546,-11.98032359882593,-13.31843992738533,-11.752007454923355,-11.575113347668688
160.0,160.0,-5.194669209956979,-1.9237821606715566,0.0,-5.008553586444336,-1.828346196519925,0.0
163.0,163.0,-12.516415400383782,-12.072089622603928,-12.014660748208168,-12.516415400527688,-11.59609462766203,-11.5756962809069
167.0,167.0,-4.225146085911423,-4.223321347399914,-1.9400636837892264,-4.225146085961236,-4.223321347431895,-1.9400636838787961
168.0,168.0,-8.303353943772812,-6.881337991852304,-5.3333999781996235,-8.303353944137937,-6.881337991858135,-5.333399978232755
173.0,173.0,-4.524006905690621,-4.180913101530023,-4.179398751010217,-4.297529189151298,-4.044716395583017,-4.0436019730811426
175.0,175.0,-1.3862943611198906,0.0,0.0,-1.3862943611198906,0.0,0.0
176.0,176.0,-12.860638301584439,-12.45809638232364,-12.450968194351216,-12.86063830159081,-12.458096382323648,-12.45096819443657
177.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0
178.0,178.0,-10.46733908908652,-10.385690102790349,-9.637387860577018,-9.74053703245453,-9.597599451514931,-9.49428571884511
180.0,180.0,-9.51990081799146,-8.798706574236357,-8.790243576308766,-9.519900818055103,-8.720468885042845,-8.717443878451903
181.0,181.0,-12.427110677379376,-12.41263910227104,-12.229737248077946,-11.99168424003428,-11.94060896543221,-11.76854104272527
183.0,183.0,-13.859538001142608,-13.823860213822536,-12.402109791634164,-11.78350206951907,-11.21011948189536,-11.11742858551104
184.0,184.0,-7.688784547489847,-7.68872634721709,-6.2777717532699135,-7.336375161403423,-7.3278723944997575,-6.158023793289293
185.0,185.0,-13.631484741479692,-13.600981615576499,-13.380420525301282,-13.631484741479772,-13.548101803325602,-13.374346079936949
188.0,188.0,-6.997164943076917,-6.275357972313669,-4.977138768847995,-5.783510956522016,-5.437573292937783,-3.9741636818666937
191.0,191.0,-12.060495232033816,-12.040269621705953,-11.797383937807863,-12.060495232227328,-12.040269621705955,-10.033716341210948
194.0,194.0,-2.862153345145143,-2.2204460492503136e-16,0.0,-2.862153345148434,-2.2204460492503136e-16,0.0
195.0,195.0,-6.580961094166862,-5.176919935834262,-3.5508441087627163,-6.4881456680360685,-5.149603141399443,-3.450306776375655
196.0,196.0,-10.186562031627643,-9.740335271698887,-9.137338463957624,-10.18656203164089,-9.740335271698894,-9.13733846398829
203.0,203.0,-7.778009747425644,-7.390953726824623,-6.634719211987703,-7.102017581489069,-6.859175928626137,-6.398534149741561
204.0,204.0,-1.3862943611198906,-1.3809640800656195,-0.006913231166323612,-1.3862943611198906,-1.3809640800656369,-0.03704261178727912
206.0,206.0,-2.85812850420328,-2.851916340907949,-1.5334936588715435,-2.8581285042312534,-2.8519163409080126,-1.5306916643540283
207.0,207.0,-13.770228066847496,-13.070644696805928,-13.04748185211925,-12.476649250079015,-12.441372398859546,-12.434731764513728
209.0,209.0,-13.71909802385597,-13.322665749283162,-11.578035503624456,-13.693878729359987,-13.322665749283155,-11.578035503618672
212.0,212.0,-12.042581384944782,-11.908259741158725,-11.85502693044929,-12.042581384944825,-11.626030915580193,-11.4887662207044
218.0,218.0,-1.5352761971433455,-1.1362487031885309e-06,0.0,-1.4067498871903596,-1.1362487051859006e-06,0.0
219.0,219.0,-8.331815097713298,-8.32018716050125,-8.270532918293311,-8.331815097715847,-6.375984760250067,-6.305932368228655
220.0,220.0,-12.968411813458788,-11.07018950922252,-11.019375140006346,-12.967859532354382,-11.070189509261974,-11.019375140008448
225.0,225.0,-13.624041784010688,-12.970202370006003,-11.496986269769753,-12.271965414347985,-12.12914234989851,-9.062380086937907
226.0,226.0,-3.2533668669600955,-3.210280796113572,-3.2061752343429326,-3.2533668669647073,-3.2102807961185387,-3.206175234343494
228.0,228.0,-13.811672479608937,-13.626870093965707,-11.483414188964762,-13.81167247961244,-13.62687009400629,-10.838125989087109
229.0,229.0,-11.783886157450086,-11.779919490509767,-10.094574568889222,-10.771475438341774,-10.768201031756476,-9.807652608381733
231.0,231.0,-12.457180263675234,-12.3877637370923,-10.946691639645312,-12.45717258042076,-12.386907914669376,-10.946691639841106
238.0,238.0,-9.198099287651823,-7.602515823645181,-7.59801953359148,-9.198099287657794,-7.563348427179777,-7.561967038950291
243.0,243.0,-10.376723269242769,-9.941209917546548,-9.082223165406967,-10.20443684632351,-9.755613545661712,-7.908243954722868
249.0,249.0,-5.641416779881939,-4.659859765014378,-3.53925673468419,-5.348852240555312,-4.250041663748196,-3.1555363468287605
250.0,250.0,-4.341257724183132,-2.2004742067061778,-5.025628865983659e-05,-4.341257724185831,-2.2004742067431953,-5.0256316402485085e-05
251.0,251.0,-8.281449331042182,-7.736833070115193,-7.411656936928177,-8.281449331043657,-5.266894406443675,-5.1780271260157775
254.0,254.0,-8.608405221692257,-7.50708894339732,-7.134805915788915,-8.60840522173948,-7.507088943535045,-6.8424296418205985
255.0,255.0,-12.396457294208846,-12.07955132502316,-11.903211504416117,-10.341103059402279,-10.113505333720347,-7.193374283592497
256.0,256.0,-13.207863917677237,-13.165614371438974,-13.141302104992201,-13.207863917755388,-13.140528111296545,-13.099367547680941
257.0,257.0,-11.104353337843273,-10.485650188185959,-9.786035445262858,-10.614096501534064,-10.375899366607003,-8.53995772722403
260.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0
261.0,261.0,-1.3862943611198906,0.0,0.0,-1.3862943611198906,0.0,0.0
264.0,264.0,-11.124615670931663,-10.477941619303934,-9.809158804332595,-11.045806111717429,-10.457026533752433,-9.80915880438617
268.0,268.0,-1.3862943611198906,-1.3837489998648533,0.0,-1.3862943611198906,-1.38374899986487,0.0
270.0,270.0,-13.33146359902652,-11.241180267421228,-10.89719246237256,-13.331450654989034,-11.241180267421358,-10.897192462674342
272.0,272.0,-13.839553409763326,-13.793503379317128,-13.368386734324732,-13.833514861179095,-13.62801117341395,-12.96782955427071
273.0,273.0,-10.846448587279856,-10.772389244759797,-10.328498242050594,-10.846448587279863,-10.772389244954674,-10.3284982421277
276.0,276.0,-7.473008861028804,-7.261089775484864,-3.3134413951290256,-7.183456327944637,-7.108018954472189,-3.1670289651659247
277.0,277.0,-9.405157097622734,-8.764333141399911,-8.723357052192574,-9.144086916806174,-8.637348448117987,-8.60885769728729
278.0,278.0,-8.717856891291996,-8.529863231350362,-8.451698227673687,-8.717856891443676,-8.056203680603964,-8.036291453566085
279.0,279.0,-13.317504743290018,-12.167680029873615,-11.891941644342406,-12.336701109174314,-11.846626141475207,-10.799855244726622
282.0,282.0,-13.18107219793255,-13.150884085573622,-12.476356169911522,-13.181072197933519,-13.150884085574035,-12.476356170237032
290.0,290.0,-10.424121780173957,-9.176767172170827,-7.267729509354547,-10.424121780233982,-9.150405527225379,-7.2677295095217795
291.0,291.0,-12.883539645818674,-12.881255087384343,-11.965431145475893,-12.883539645822031,-12.79706816330034,-11.965431145498258
