,sub,m1a_ll,m1b_ll,m1c_ll,m2a_ll,m2b_ll,m2c_ll
178.0,178.0,-13.766154645453696,-10.705819722018047,-10.024802951348676,-12.476649250079015,-10.119034519172686,-9.687297280017612
179.0,179.0,-4.714808279873837,-1.6801273316603489,0.0,-4.6117605413736875,-1.6801273316624312,0.0
180.0,180.0,-13.852782420211577,-13.554763806307859,-8.242504335974791,-12.476649250079012,-12.44204498299213,-8.238683823574977
181.0,181.0,-3.4093086813951445,-3.1764655634631076,-3.0306096859217173,-3.2156178082728153,-3.1017367163959397,-3.029972900321955
182.0,182.0,-12.746085698332028,-11.9214748952718,-11.190928448422817,-12.288968190974826,-11.806628339479413,-11.146635385339987
183.0,183.0,-10.249923895288003,-3.3893310424773118,-2.8817014412516615,-10.105285187014951,-1.3846487317907352,-0.4423700687604792
184.0,184.0,-8.512124740536366,-2.9789224079025978,-1.6986412276764983e-14,-8.439548126553973,-2.9789224079481262,-3.4416913763379884e-15
185.0,185.0,-11.289553728639616,-6.67254695878234,-3.9065030934463674,-11.289553728640598,-6.150852026903751,-3.9065030934523817
186.0,186.0,-10.042663465850868,-6.115652999869358,-5.798981676790021,-9.705283467833805,-6.1156529998761755,-5.798981676804815
187.0,187.0,-5.799916418472255,-4.586253240202158,-4.109980725691238,-5.014540430255109,-4.240148507524852,-3.843055945812176
188.0,188.0,-5.714149634144901,0.0,0.0,-5.714149634147004,0.0,0.0
189.0,189.0,-13.580867359544431,-1.8489582712465151,-2.6607605008182314e-12,-12.476649250079015,-1.8489582712467558,-2.375877272697845e-14
190.0,190.0,-12.349885531374317,-6.851991711185507,-4.204417731859152,-12.34466390340674,-6.851991711192261,-3.4546938359554846
191.0,191.0,-7.229677150630581,-7.1148886400649545,-5.580823726024194,-7.229677150631141,-7.0025535579669445,-5.564778035083855
192.0,192.0,-7.916909139437378,-3.713337899827627,-1.4870207151579988e-05,-7.499225291787155,-3.713337899882146,-1.1477692043436424e-05
193.0,193.0,-1.3862943611198906,-9.325873406851334e-15,-7.105427357601013e-15,-1.3862943611198906,-9.43689570931385e-15,-7.438494264988558e-15
194.0,194.0,-11.537091445012562,-8.014355370549424,-7.789447536832735,-10.1301006375202,-8.01435537066863,-7.796133699680355
195.0,195.0,-8.234368847075718,-6.128795034861099e-09,-1.0507048566796214e-09,-8.234368847080786,-6.129030180096909e-09,-1.081358558527472e-09
196.0,196.0,-13.096574878092424,-8.08108195569422,-7.765931059069666,-13.09657487813435,-7.9619867149649615,-7.765931059069772
197.0,197.0,-10.633669397667322,-10.57241879921514,-7.470666686473481,-10.63366939783784,-10.572418799215145,-7.470666686473707
198.0,198.0,-6.80371647014265,-0.011851176897738435,-5.93557425438326e-11,-6.803716470145009,-0.011851177054666599,-6.064715396613213e-11
199.0,199.0,-7.657766420527529,-7.529949090601432,-7.0596342637718745,-7.65776642053285,-7.529949090601428,-7.007071298208492
200.0,200.0,-13.854037216355536,-11.229508714899517,-11.18594207120396,-12.476649250079014,-11.064072133918526,-10.967061729407808
201.0,201.0,-13.199288736460026,-10.83150932791286,0.0,-12.476649250079017,-10.831509327913768,0.0
202.0,202.0,-12.541049652748455,-9.874132987198532,-9.102553313866256,-12.541049652748667,-9.874132987204323,-9.102553313900659
203.0,203.0,-9.436772861316404,-9.064102311834665,-8.370277031699317,-9.436772861316557,-9.0641023118347,-7.882382870015658
204.0,204.0,-11.729605977614947,-9.445175478081447,-7.913187741707384,-11.729605977688765,-9.445175478172384,-7.913187741897572
205.0,205.0,-13.847298089066282,-2.5719637065288596,-1.8718574142905133,-12.476649250079014,-2.571963706530181,-1.8718574143338964
206.0,206.0,-9.548978443990716,-9.417761039061538,-0.003004514889276027,-9.520830733865731,-9.34531961285155,-0.0030045152072797903
207.0,207.0,-10.006665747069961,-8.590590148818583,-7.151404524287,-10.006665747071294,-8.58952167874709,-6.884458728563045
208.0,208.0,-6.392336128945007,-5.442289744713023,-1.580245450487663,-6.392336129000766,-5.4422897447119745,-1.5802454640729588
209.0,209.0,-9.217706473859971,-7.327111439954982,-5.1266805350519355,-8.77220738694837,-6.564519159647835,-4.835259914516371
210.0,210.0,-7.455859426191075,-2.2986873677407216,-4.4193715357400925e-10,-7.455859426226705,-2.1016934208675346,-1.5335621661491678e-11
211.0,211.0,-8.77413274619918,-5.070797629553808,-0.0005237314597298114,-8.774132746204431,-4.384897756890936,-7.05661749871005e-08
212.0,212.0,-1.3862943611198906,-0.0886938403083511,0.0,-1.3862943611198906,-0.08869384035973425,0.0
213.0,213.0,-8.889071993495607,-8.244833175751031,-8.148387552482893,-8.324560717214565,-7.927389478195108,-7.926341333614045
214.0,214.0,-7.039879390315757,-5.58929902148663,-5.185122196717713,-7.039879390371854,-5.523617858284276,-5.147229974259665
215.0,215.0,-13.785558443576098,-13.600439174938307,-12.264027994412066,-13.785558443576269,-13.560438855810451,-12.244741889725148
216.0,216.0,-13.49880542542848,-13.494735011442112,-10.742058573885002,-12.456842024676527,-12.450358256259173,-10.65627574703475
217.0,217.0,-9.18193983391613,-9.086340306935222,-8.752011025664677,-9.181939833936637,-9.08634030693638,-8.752011026346382
218.0,218.0,-10.145916294598806,-10.136970385290029,-7.804742285996329,-10.145916294632036,-10.136970385303698,-7.8047422860272055
219.0,219.0,-13.615677942573907,-11.365214051823976,-10.69391650308337,-12.476649250079015,-10.911744402676174,-10.693916503140143
220.0,220.0,-8.847165217363514,-7.195758182355577,-7.029178109030655,-8.847091529206768,-7.1957581823587615,-7.029178109471967
221.0,221.0,-10.871350133669722,-10.843966308517057,-8.066104627766723,-9.594247371096362,-9.28169744188109,-8.066104691333727
222.0,222.0,-13.849429535166673,-6.539288705568529,-6.53531819676261,-13.838988655104394,-6.539288705568841,-6.535318196762606
223.0,223.0,-8.034073801707489,-4.281353832879993,-4.189089186808606,-7.8503712957835585,-4.281353833343142,-4.189089189328939
224.0,224.0,-8.440162873497554,-3.459565011802927,-2.965781323328449,-8.440162873506921,-2.0675032178708967,-2.057763337501498
225.0,225.0,-13.78822564468843,-12.879762741948417,-11.775842304395677,-12.476649250079015,-12.155320262155119,-11.577892078765315
226.0,226.0,-10.575905389354746,-7.114916075391386,-6.468700358445857,-10.552712918447599,-6.5474723117925135,-4.6349972965607185
